"(0, 0.019499302)","(1, 0.1423639)","(2, 0.019303454)","(3, 0.0196945)","(4, 0.023737498)","(5, 0.08448598)","(6, 0.020205557)","(7, 0.019270098)","(8, 0.11280179)","(9, 0.017848736)","(10, 0.3409768)","(11, 0.05113185)","(12, 0.019632002)","(13, 0.019092644)","(14, 0.08995589)"
"(0, 0.099171385)","(1, 0.030521736)","(2, 0.018101877)","(3, 0.022816963)","(4, 0.033327978)","(5, 0.02058121)","(6, 0.1288547)","(7, 0.091568135)","(8, 0.22737624)","(9, 0.036430053)","(10, 0.03152861)","(11, 0.09835852)","(12, 0.11005723)","(13, 0.02772087)","(14, 0.02358448)"
"(0, 0.11278864)","(1, 0.20754036)","(2, 0.021805543)","(3, 0.022316335)","(4, 0.07896556)","(5, 0.019692175)","(6, 0.014501679)","(7, 0.05779306)","(8, 0.09739303)","(9, 0.09032642)","(10, 0.08930345)","(11, 0.0322771)","(12, 0.03352283)","(13, 0.06593718)","(14, 0.05583667)"
"(0, 0.035260536)","(1, 0.11529991)","(2, 0.021421501)","(3, 0.196779)","(4, 0.17882837)","(5, 0.065439835)","(6, 0.016256971)","(7, 0.01648665)","(8, 0.015828311)","(9, 0.014532711)","(10, 0.06534552)","(11, 0.013672299)","(12, 0.0145831965)","(13, 0.109513186)","(14, 0.120752014)"
"(0, 0.011192215)","(1, 0.13281564)","(2, 0.02336887)","(3, 0.027462298)","(4, 0.011752556)","(5, 0.5024384)","(6, 0.012627433)","(7, 0.011742171)","(8, 0.011183324)","(9, 0.14146201)","(10, 0.012008494)","(11, 0.050805517)","(12, 0.021460643)","(13, 0.0111719975)","(14, 0.018508375)"
"(0, 0.014650815)","(1, 0.0302872)","(2, 0.017795406)","(3, 0.05648535)","(4, 0.28349534)","(5, 0.016997874)","(6, 0.013983389)","(7, 0.053551875)","(8, 0.030251985)","(9, 0.1152593)","(10, 0.15794468)","(11, 0.020099552)","(12, 0.013175635)","(13, 0.16345492)","(14, 0.01256672)"
"(0, 0.025955664)","(1, 0.01748642)","(2, 0.028829275)","(3, 0.17625041)","(4, 0.015615638)","(5, 0.035080835)","(6, 0.093272276)","(7, 0.121471524)","(8, 0.092639074)","(9, 0.016232474)","(10, 0.01564419)","(11, 0.10312313)","(12, 0.015306527)","(13, 0.023582855)","(14, 0.2195097)"
"(0, 0.023203902)","(1, 0.024175268)","(2, 0.22358893)","(3, 0.055320486)","(4, 0.075589105)","(5, 0.02932922)","(6, 0.023716703)","(7, 0.022807134)","(8, 0.2287332)","(9, 0.024810396)","(10, 0.023298664)","(11, 0.053273372)","(12, 0.06575345)","(13, 0.10188936)","(14, 0.024510859)"
"(0, 0.016517373)","(1, 0.09192847)","(2, 0.41166767)","(3, 0.060610924)","(4, 0.017101808)","(5, 0.08620813)","(6, 0.01911054)","(7, 0.043991085)","(8, 0.02931062)","(9, 0.070462905)","(10, 0.05045339)","(11, 0.02178171)","(12, 0.02230605)","(13, 0.012743133)","(14, 0.04580623)"
"(0, 0.037821688)","(1, 0.17072624)","(2, 0.12370648)","(3, 0.019270757)","(4, 0.02921788)","(5, 0.021560514)","(6, 0.0133580165)","(7, 0.12679377)","(8, 0.018424548)","(9, 0.057716362)","(10, 0.014645645)","(11, 0.32956454)","(12, 0.012261431)","(13, 0.01247969)","(14, 0.012452401)"
"(0, 0.03807566)","(1, 0.10427962)","(2, 0.08882293)","(3, 0.06452437)","(4, 0.05792261)","(5, 0.038828257)","(6, 0.018738674)","(7, 0.16411872)","(8, 0.095294915)","(9, 0.046958264)","(10, 0.029571902)","(11, 0.16343778)","(12, 0.030287417)","(13, 0.03934892)","(14, 0.019790001)"
"(0, 0.01455482)","(1, 0.12679832)","(2, 0.03636887)","(3, 0.013530936)","(4, 0.07229629)","(5, 0.0145157445)","(6, 0.013462748)","(7, 0.035738964)","(8, 0.021491442)","(9, 0.2763)","(10, 0.08778167)","(11, 0.0320607)","(12, 0.0894314)","(13, 0.14412096)","(14, 0.021547083)"
"(0, 0.019961726)","(1, 0.0453853)","(2, 0.0478201)","(3, 0.09432069)","(4, 0.047870077)","(5, 0.07866942)","(6, 0.105243966)","(7, 0.09501569)","(8, 0.035164744)","(9, 0.05765752)","(10, 0.018341156)","(11, 0.14608265)","(12, 0.092214905)","(13, 0.07498248)","(14, 0.041269578)"
"(0, 0.013341047)","(1, 0.02287964)","(2, 0.24140555)","(3, 0.013025729)","(4, 0.096063375)","(5, 0.015675897)","(6, 0.013118156)","(7, 0.013928864)","(8, 0.3486388)","(9, 0.016383331)","(10, 0.0904174)","(11, 0.014729319)","(12, 0.06867209)","(13, 0.016686521)","(14, 0.015034264)"
"(0, 0.078935936)","(1, 0.026760172)","(2, 0.029697768)","(3, 0.0140662575)","(4, 0.064454034)","(5, 0.025285063)","(6, 0.047576103)","(7, 0.22872806)","(8, 0.057980888)","(9, 0.06544498)","(10, 0.01706709)","(11, 0.09929601)","(12, 0.06699588)","(13, 0.16215952)","(14, 0.015552203)"
"(0, 0.06859297)","(1, 0.050650805)","(2, 0.014901358)","(3, 0.17646685)","(4, 0.014675284)","(5, 0.15135068)","(6, 0.014164887)","(7, 0.08268069)","(8, 0.08349886)","(9, 0.11695268)","(10, 0.07463236)","(11, 0.044649698)","(12, 0.01869375)","(13, 0.012654538)","(14, 0.075434625)"
"(0, 0.01794491)","(1, 0.016231852)","(2, 0.056213807)","(3, 0.12470226)","(4, 0.08275074)","(5, 0.06311445)","(6, 0.09213604)","(7, 0.12230328)","(8, 0.05704802)","(9, 0.096637554)","(10, 0.019290686)","(11, 0.1802381)","(12, 0.020414898)","(13, 0.016438495)","(14, 0.034534905)"
"(0, 0.02836712)","(1, 0.015590444)","(2, 0.024840368)","(3, 0.022224905)","(4, 0.014590129)","(5, 0.025741968)","(6, 0.016575634)","(7, 0.50774723)","(8, 0.018829178)","(9, 0.018871881)","(10, 0.017121533)","(11, 0.04140693)","(12, 0.058033567)","(13, 0.17691636)","(14, 0.013142698)"
"(0, 0.016603712)","(1, 0.016004445)","(2, 0.1418609)","(3, 0.07248303)","(4, 0.33081278)","(5, 0.1649806)","(6, 0.037748873)","(7, 0.022225836)","(8, 0.017425902)","(9, 0.078479856)","(10, 0.018076358)","(11, 0.017026925)","(12, 0.016091403)","(13, 0.030688213)","(14, 0.019491157)"
"(0, 0.016675051)","(1, 0.016994003)","(2, 0.12876095)","(3, 0.023574874)","(4, 0.015054565)","(5, 0.023811845)","(6, 0.061957344)","(7, 0.01565739)","(8, 0.21187079)","(9, 0.020028472)","(10, 0.023834873)","(11, 0.13992755)","(12, 0.16605134)","(13, 0.11696203)","(14, 0.018838912)"
"(0, 0.015679844)","(1, 0.099639766)","(2, 0.11236547)","(3, 0.09387408)","(4, 0.045908663)","(5, 0.035783235)","(6, 0.12303854)","(7, 0.13407974)","(8, 0.076260574)","(9, 0.14098532)","(10, 0.03547057)","(11, 0.016311252)","(12, 0.01823684)","(13, 0.034605324)","(14, 0.017760783)"
"(0, 0.040553268)","(1, 0.078684464)","(2, 0.013785993)","(3, 0.01483096)","(4, 0.012168897)","(5, 0.06121693)","(6, 0.027929634)","(7, 0.22481605)","(8, 0.01446937)","(9, 0.08097317)","(10, 0.07686901)","(11, 0.0134021565)","(12, 0.01872963)","(13, 0.012157464)","(14, 0.30941305)"
"(0, 0.059099082)","(1, 0.21639389)","(2, 0.034760218)","(3, 0.039946843)","(4, 0.13176462)","(5, 0.04143583)","(6, 0.027662018)","(7, 0.021914547)","(8, 0.20617658)","(9, 0.05395726)","(10, 0.024219623)","(11, 0.027916597)","(12, 0.035379253)","(13, 0.021568308)","(14, 0.05780529)"
"(0, 0.018038442)","(1, 0.07980966)","(2, 0.020484382)","(3, 0.022448616)","(4, 0.014774325)","(5, 0.02187771)","(6, 0.13758181)","(7, 0.014977441)","(8, 0.23611706)","(9, 0.029532392)","(10, 0.032678492)","(11, 0.073804475)","(12, 0.22943585)","(13, 0.01430716)","(14, 0.054132182)"
"(0, 0.10164569)","(1, 0.23282039)","(2, 0.018750886)","(3, 0.07322198)","(4, 0.04465783)","(5, 0.019334767)","(6, 0.041142095)","(7, 0.17216666)","(8, 0.04321778)","(9, 0.016379949)","(10, 0.018754862)","(11, 0.05349649)","(12, 0.015600124)","(13, 0.12571345)","(14, 0.023097085)"
"(0, 0.10720836)","(1, 0.014077375)","(2, 0.060457915)","(3, 0.093874834)","(4, 0.018637177)","(5, 0.037263636)","(6, 0.014339933)","(7, 0.054766316)","(8, 0.05566783)","(9, 0.16062357)","(10, 0.0157777)","(11, 0.2582351)","(12, 0.073220395)","(13, 0.019371917)","(14, 0.01647796)"
