"(0, 0.2650367)","(1, 0.11165791)","(2, 0.2511736)","(3, 0.038103547)","(4, 0.33402824)"
"(0, 0.22158639)","(1, 0.029759228)","(2, 0.24307206)","(3, 0.21808556)","(4, 0.2874968)"
"(0, 0.21605635)","(1, 0.1850074)","(2, 0.10421514)","(3, 0.36603352)","(4, 0.12868759)"
"(0, 0.23425107)","(1, 0.25951567)","(2, 0.2319293)","(3, 0.21306539)","(4, 0.061238598)"
"(0, 0.19827814)","(1, 0.21393824)","(2, 0.20714256)","(3, 0.18667673)","(4, 0.19396433)"
"(0, 0.056092966)","(1, 0.26296768)","(2, 0.017848808)","(3, 0.4093581)","(4, 0.2537324)"
"(0, 0.48472312)","(1, 0.2056751)","(2, 0.018719362)","(3, 0.24673197)","(4, 0.044150412)"
"(0, 0.06531269)","(1, 0.5003636)","(2, 0.11521125)","(3, 0.28111577)","(4, 0.03799665)"
"(0, 0.11279832)","(1, 0.3232115)","(2, 0.029957244)","(3, 0.31356654)","(4, 0.2204664)"
"(0, 0.19777246)","(1, 0.1935213)","(2, 0.20782906)","(3, 0.19933078)","(4, 0.20154642)"
"(0, 0.19753131)","(1, 0.10151862)","(2, 0.10080784)","(3, 0.35507664)","(4, 0.2450656)"
"(0, 0.2501359)","(1, 0.0717624)","(2, 0.24859357)","(3, 0.13627039)","(4, 0.29323775)"
"(0, 0.104737215)","(1, 0.30598283)","(2, 0.21658313)","(3, 0.16165338)","(4, 0.21104343)"
"(0, 0.043772604)","(1, 0.29192877)","(2, 0.18282016)","(3, 0.32035547)","(4, 0.16112296)"
"(0, 0.2528984)","(1, 0.014700342)","(2, 0.17340656)","(3, 0.16443287)","(4, 0.3945618)"
"(0, 0.54604745)","(1, 0.13966468)","(2, 0.038562916)","(3, 0.1416953)","(4, 0.13402963)"
"(0, 0.1946847)","(1, 0.21099336)","(2, 0.19033712)","(3, 0.20142724)","(4, 0.2025576)"
"(0, 0.16568662)","(1, 0.057488024)","(2, 0.13988048)","(3, 0.37222183)","(4, 0.26472306)"
"(0, 0.09108728)","(1, 0.4465069)","(2, 0.26738462)","(3, 0.011642109)","(4, 0.1833791)"
"(0, 0.047205217)","(1, 0.21916106)","(2, 0.23343419)","(3, 0.2761745)","(4, 0.22402503)"
"(0, 0.16311821)","(1, 0.2259369)","(2, 0.24209565)","(3, 0.19849119)","(4, 0.17035809)"
"(0, 0.26652566)","(1, 0.19605398)","(2, 0.09235083)","(3, 0.18950763)","(4, 0.25556195)"
"(0, 0.19462317)","(1, 0.19835491)","(2, 0.19825141)","(3, 0.20893872)","(4, 0.19983178)"
"(0, 0.25603136)","(1, 0.019342871)","(2, 0.20816727)","(3, 0.14292212)","(4, 0.3735364)"
"(0, 0.18561935)","(1, 0.3007506)","(2, 0.28807604)","(3, 0.023104679)","(4, 0.20244926)"
"(0, 0.18553284)","(1, 0.23775837)","(2, 0.29166877)","(3, 0.175453)","(4, 0.10958702)"
"(0, 0.19130673)","(1, 0.2018786)","(2, 0.21383184)","(3, 0.19406603)","(4, 0.19891678)"
"(0, 0.11317765)","(1, 0.36091885)","(2, 0.10026039)","(3, 0.30576372)","(4, 0.1198794)"
"(0, 0.05557817)","(1, 0.3119406)","(2, 0.28415814)","(3, 0.28228864)","(4, 0.066034436)"
"(0, 0.012204671)","(1, 0.4722588)","(2, 0.025803732)","(3, 0.16490795)","(4, 0.32482487)"
"(0, 0.05787974)","(1, 0.041569185)","(2, 0.06461016)","(3, 0.7209009)","(4, 0.11504002)"
"(0, 0.19989498)","(1, 0.19586004)","(2, 0.19359529)","(3, 0.20065208)","(4, 0.2099976)"
"(0, 0.12929197)","(1, 0.26408726)","(2, 0.36129728)","(3, 0.04426155)","(4, 0.20106195)"
"(0, 0.31691018)","(1, 0.09641476)","(2, 0.20677552)","(3, 0.1675757)","(4, 0.21232381)"
"(0, 0.2007177)","(1, 0.15201403)","(2, 0.21392824)","(3, 0.2593352)","(4, 0.17400485)"
"(0, 0.20513709)","(1, 0.21008001)","(2, 0.20166126)","(3, 0.19169566)","(4, 0.19142598)"
"(0, 0.21565574)","(1, 0.4457061)","(2, 0.05924952)","(3, 0.02420106)","(4, 0.2551876)"
"(0, 0.062254477)","(1, 0.18548676)","(2, 0.33077013)","(3, 0.22917761)","(4, 0.19231106)"
"(0, 0.4427781)","(1, 0.13884534)","(2, 0.16297537)","(3, 0.20222169)","(4, 0.05317945)"
"(0, 0.17041068)","(1, 0.11995335)","(2, 0.24831542)","(3, 0.10908915)","(4, 0.35223144)"
"(0, 0.021943906)","(1, 0.24016652)","(2, 0.17690058)","(3, 0.24045758)","(4, 0.3205314)"
"(0, 0.0828637)","(1, 0.03445769)","(2, 0.32230845)","(3, 0.2711774)","(4, 0.28919274)"
"(0, 0.2763501)","(1, 0.3070016)","(2, 0.31049973)","(3, 0.051192656)","(4, 0.05495591)"
"(0, 0.026826285)","(1, 0.12484183)","(2, 0.40879843)","(3, 0.28084078)","(4, 0.15869264)"
"(0, 0.26977715)","(1, 0.13981375)","(2, 0.07862703)","(3, 0.43654725)","(4, 0.07523482)"
