"(0, 0.24238504)","(1, 0.18531613)","(2, 0.0281372)","(3, 0.05290827)","(4, 0.09027176)","(5, 0.13148099)","(6, 0.03100604)","(7, 0.04839275)","(8, 0.14009032)","(9, 0.050011445)"
"(0, 0.13483262)","(1, 0.039946552)","(2, 0.024556482)","(3, 0.035279404)","(4, 0.04875766)","(5, 0.031706)","(6, 0.19796021)","(7, 0.11228968)","(8, 0.3230872)","(9, 0.051584218)"
"(0, 0.18484448)","(1, 0.2472686)","(2, 0.10753817)","(3, 0.028883372)","(4, 0.14643718)","(5, 0.03575606)","(6, 0.020413654)","(7, 0.09304194)","(8, 0.09129214)","(9, 0.044524375)"
"(0, 0.046156116)","(1, 0.15699202)","(2, 0.07143124)","(3, 0.24135698)","(4, 0.19998895)","(5, 0.13415423)","(6, 0.07662404)","(7, 0.021723676)","(8, 0.03233344)","(9, 0.019239321)"
"(0, 0.012519617)","(1, 0.13563326)","(2, 0.029960142)","(3, 0.10208484)","(4, 0.013296356)","(5, 0.53106874)","(6, 0.01902521)","(7, 0.021861974)","(8, 0.014373372)","(9, 0.12017646)"
"(0, 0.022118796)","(1, 0.22417833)","(2, 0.4315687)","(3, 0.13257009)","(4, 0.028474513)","(5, 0.039087296)","(6, 0.06492343)","(7, 0.026126934)","(8, 0.013354664)","(9, 0.017597249)"
"(0, 0.100250274)","(1, 0.040529735)","(2, 0.069130674)","(3, 0.17607948)","(4, 0.02144758)","(5, 0.040798414)","(6, 0.19111346)","(7, 0.21096265)","(8, 0.12207303)","(9, 0.027614709)"
"(0, 0.030882467)","(1, 0.032183085)","(2, 0.24037987)","(3, 0.12284535)","(4, 0.107124336)","(5, 0.045467038)","(6, 0.03335164)","(7, 0.030525446)","(8, 0.32203197)","(9, 0.035208814)"
"(0, 0.028813304)","(1, 0.12463419)","(2, 0.3783426)","(3, 0.0815127)","(4, 0.03196263)","(5, 0.09710702)","(6, 0.034576613)","(7, 0.06576869)","(8, 0.041542638)","(9, 0.11573959)"
"(0, 0.05318038)","(1, 0.23064843)","(2, 0.2016261)","(3, 0.038716014)","(4, 0.038374543)","(5, 0.20622233)","(6, 0.019538697)","(7, 0.09406787)","(8, 0.06283612)","(9, 0.05478953)"
"(0, 0.05123068)","(1, 0.10023798)","(2, 0.15944472)","(3, 0.092720464)","(4, 0.08934336)","(5, 0.061472133)","(6, 0.02382835)","(7, 0.17896976)","(8, 0.13502197)","(9, 0.10773056)"
"(0, 0.04091363)","(1, 0.2698794)","(2, 0.05011838)","(3, 0.020165954)","(4, 0.09661063)","(5, 0.019980323)","(6, 0.058918096)","(7, 0.06609841)","(8, 0.086858384)","(9, 0.29045677)"
"(0, 0.041134715)","(1, 0.05452711)","(2, 0.08043536)","(3, 0.17255703)","(4, 0.13879159)","(5, 0.09709894)","(6, 0.12669584)","(7, 0.14851104)","(8, 0.05589134)","(9, 0.08435704)"
"(0, 0.01997682)","(1, 0.03548672)","(2, 0.29789197)","(3, 0.013704326)","(4, 0.19476181)","(5, 0.020371588)","(6, 0.014082204)","(7, 0.017431527)","(8, 0.29569784)","(9, 0.0905952)"
"(0, 0.11152721)","(1, 0.041181006)","(2, 0.064952835)","(3, 0.01968409)","(4, 0.15063404)","(5, 0.041426934)","(6, 0.03434988)","(7, 0.2959717)","(8, 0.13151994)","(9, 0.10875239)"
"(0, 0.122241825)","(1, 0.06901067)","(2, 0.028408613)","(3, 0.123720646)","(4, 0.019907836)","(5, 0.16546193)","(6, 0.043282676)","(7, 0.08907112)","(8, 0.17571656)","(9, 0.16317812)"
"(0, 0.032057177)","(1, 0.022486782)","(2, 0.06266769)","(3, 0.14292125)","(4, 0.11094764)","(5, 0.124804616)","(6, 0.10846721)","(7, 0.15337023)","(8, 0.123299405)","(9, 0.118978016)"
"(0, 0.061101805)","(1, 0.042842846)","(2, 0.03391441)","(3, 0.037142552)","(4, 0.02765792)","(5, 0.036007784)","(6, 0.02281158)","(7, 0.63307387)","(8, 0.048668865)","(9, 0.0567784)"
"(0, 0.02158311)","(1, 0.017220475)","(2, 0.12873931)","(3, 0.050204817)","(4, 0.37339664)","(5, 0.1703793)","(6, 0.094353154)","(7, 0.042083625)","(8, 0.01945763)","(9, 0.082581945)"
"(0, 0.057608023)","(1, 0.02815061)","(2, 0.22926378)","(3, 0.15944006)","(4, 0.023836482)","(5, 0.056640632)","(6, 0.0757498)","(7, 0.039048936)","(8, 0.29697523)","(9, 0.033286426)"
"(0, 0.01928444)","(1, 0.07393878)","(2, 0.14184287)","(3, 0.12877372)","(4, 0.050485212)","(5, 0.04817341)","(6, 0.10657394)","(7, 0.19686024)","(8, 0.1072376)","(9, 0.12682983)"
"(0, 0.12763153)","(1, 0.10133673)","(2, 0.02194906)","(3, 0.029869698)","(4, 0.018249905)","(5, 0.088370636)","(6, 0.07270365)","(7, 0.38056716)","(8, 0.031546913)","(9, 0.12777472)"
"(0, 0.071838945)","(1, 0.21665339)","(2, 0.02671494)","(3, 0.049907323)","(4, 0.14327541)","(5, 0.0537915)","(6, 0.032220274)","(7, 0.02950211)","(8, 0.27634707)","(9, 0.099749)"
"(0, 0.1421639)","(1, 0.19586244)","(2, 0.05653372)","(3, 0.02948603)","(4, 0.036826055)","(5, 0.07177785)","(6, 0.11394788)","(7, 0.027208881)","(8, 0.2844258)","(9, 0.04176746)"
"(0, 0.1414626)","(1, 0.24936317)","(2, 0.025177531)","(3, 0.09800701)","(4, 0.08072898)","(5, 0.03931875)","(6, 0.042316694)","(7, 0.21632382)","(8, 0.0839022)","(9, 0.02339924)"
"(0, 0.07753282)","(1, 0.022368057)","(2, 0.14978868)","(3, 0.10367076)","(4, 0.028411603)","(5, 0.06461269)","(6, 0.022231985)","(7, 0.17925203)","(8, 0.23524716)","(9, 0.11688425)"
"(0, 0.027425123)","(1, 0.13902822)","(2, 0.066722244)","(3, 0.041918777)","(4, 0.02060676)","(5, 0.02377145)","(6, 0.04475228)","(7, 0.19957349)","(8, 0.032223593)","(9, 0.40397802)"
"(0, 0.12245907)","(1, 0.06742759)","(2, 0.051143073)","(3, 0.07837807)","(4, 0.05139045)","(5, 0.19187658)","(6, 0.08256302)","(7, 0.040227745)","(8, 0.12209001)","(9, 0.1924444)"
"(0, 0.055485334)","(1, 0.09095886)","(2, 0.16530378)","(3, 0.049367387)","(4, 0.15035498)","(5, 0.17029878)","(6, 0.17166877)","(7, 0.03302553)","(8, 0.030861575)","(9, 0.08267502)"
"(0, 0.19501734)","(1, 0.033719998)","(2, 0.10384749)","(3, 0.0508902)","(4, 0.15766998)","(5, 0.07907585)","(6, 0.07858911)","(7, 0.025524508)","(8, 0.14234674)","(9, 0.13331883)"
"(0, 0.14490758)","(1, 0.1919743)","(2, 0.019178413)","(3, 0.053223055)","(4, 0.016744593)","(5, 0.32582554)","(6, 0.025132785)","(7, 0.17184193)","(8, 0.03385497)","(9, 0.017316842)"
"(0, 0.02200171)","(1, 0.25899437)","(2, 0.23045164)","(3, 0.18761045)","(4, 0.06461164)","(5, 0.04022155)","(6, 0.024026666)","(7, 0.033941805)","(8, 0.019554062)","(9, 0.118586116)"
"(0, 0.050507583)","(1, 0.1773238)","(2, 0.22647111)","(3, 0.16475956)","(4, 0.096802816)","(5, 0.04722476)","(6, 0.14304544)","(7, 0.02644391)","(8, 0.030653927)","(9, 0.036767114)"
"(0, 0.1556184)","(1, 0.13159372)","(2, 0.08894548)","(3, 0.045733996)","(4, 0.039623756)","(5, 0.070402004)","(6, 0.09551699)","(7, 0.030823268)","(8, 0.31508678)","(9, 0.026655616)"
"(0, 0.09385565)","(1, 0.13624233)","(2, 0.024274029)","(3, 0.378797)","(4, 0.07909435)","(5, 0.030371865)","(6, 0.059905726)","(7, 0.052123997)","(8, 0.09298985)","(9, 0.05234524)"
"(0, 0.05362478)","(1, 0.059278704)","(2, 0.023451485)","(3, 0.018071212)","(4, 0.35855028)","(5, 0.09049767)","(6, 0.07718185)","(7, 0.03050218)","(8, 0.16402806)","(9, 0.12481382)"
"(0, 0.14294967)","(1, 0.082177125)","(2, 0.15000957)","(3, 0.112353444)","(4, 0.31489053)","(5, 0.07520364)","(6, 0.06260579)","(7, 0.028500216)","(8, 0.014122986)","(9, 0.017187005)"
"(0, 0.03018538)","(1, 0.20174351)","(2, 0.15447325)","(3, 0.11357274)","(4, 0.09797478)","(5, 0.1065738)","(6, 0.034364995)","(7, 0.12638322)","(8, 0.03849521)","(9, 0.09623309)"
"(0, 0.13768306)","(1, 0.030442271)","(2, 0.15179014)","(3, 0.035599973)","(4, 0.033781704)","(5, 0.18861464)","(6, 0.028820923)","(7, 0.04997846)","(8, 0.30643845)","(9, 0.036850385)"
"(0, 0.027415508)","(1, 0.10791392)","(2, 0.21756537)","(3, 0.020786112)","(4, 0.023795007)","(5, 0.033067103)","(6, 0.22608137)","(7, 0.12743756)","(8, 0.14197814)","(9, 0.07395987)"
"(0, 0.025886016)","(1, 0.16295932)","(2, 0.07704919)","(3, 0.21842091)","(4, 0.02549492)","(5, 0.026652448)","(6, 0.12699938)","(7, 0.037328344)","(8, 0.13213392)","(9, 0.16707557)"
"(0, 0.12105143)","(1, 0.09145511)","(2, 0.02080181)","(3, 0.081204705)","(4, 0.10100814)","(5, 0.13702424)","(6, 0.047095247)","(7, 0.19168657)","(8, 0.14541446)","(9, 0.06325827)"
"(0, 0.103210144)","(1, 0.48404902)","(2, 0.02602227)","(3, 0.0849018)","(4, 0.046752192)","(5, 0.14916201)","(6, 0.023198115)","(7, 0.0262811)","(8, 0.01721732)","(9, 0.039206017)"
"(0, 0.020356782)","(1, 0.03741691)","(2, 0.017445857)","(3, 0.11213619)","(4, 0.0835085)","(5, 0.1843704)","(6, 0.015527776)","(7, 0.021554532)","(8, 0.27978894)","(9, 0.2278941)"
"(0, 0.078461245)","(1, 0.036490895)","(2, 0.18539022)","(3, 0.04620782)","(4, 0.06562892)","(5, 0.11971934)","(6, 0.26147056)","(7, 0.09854647)","(8, 0.051196337)","(9, 0.056888226)"
