"(0, 0.053968627)","(1, 0.036225718)","(2, 0.037153024)","(3, 0.046003222)","(4, 0.07563728)","(5, 0.0368704)","(6, 0.05202705)","(7, 0.036167696)","(8, 0.037002046)","(9, 0.03710582)","(10, 0.036191408)","(11, 0.0363003)","(12, 0.08247186)","(13, 0.07901081)","(14, 0.079998225)","(15, 0.03902306)","(16, 0.06335915)","(17, 0.051698796)","(18, 0.036199927)","(19, 0.047585584)"
"(0, 0.03874264)","(1, 0.036520094)","(2, 0.051477965)","(3, 0.06301961)","(4, 0.051821314)","(5, 0.036572617)","(6, 0.050382525)","(7, 0.04265828)","(8, 0.05966793)","(9, 0.03645073)","(10, 0.04373289)","(11, 0.053590875)","(12, 0.085131876)","(13, 0.036575295)","(14, 0.03644718)","(15, 0.067642935)","(16, 0.09374412)","(17, 0.036585655)","(18, 0.042682882)","(19, 0.03655254)"
"(0, 0.032066572)","(1, 0.043191638)","(2, 0.032621995)","(3, 0.06498032)","(4, 0.0384932)","(5, 0.03206286)","(6, 0.03207312)","(7, 0.032056123)","(8, 0.032040656)","(9, 0.04884677)","(10, 0.045786448)","(11, 0.032061305)","(12, 0.04086361)","(13, 0.07316242)","(14, 0.034049)","(15, 0.14534476)","(16, 0.08128789)","(17, 0.032814637)","(18, 0.03813455)","(19, 0.08806215)"
"(0, 0.034537878)","(1, 0.042633623)","(2, 0.034521274)","(3, 0.03495523)","(4, 0.03452409)","(5, 0.09738705)","(6, 0.035290003)","(7, 0.050370444)","(8, 0.035275456)","(9, 0.034520276)","(10, 0.13978454)","(11, 0.057853606)","(12, 0.06273611)","(13, 0.035322554)","(14, 0.03451582)","(15, 0.04610441)","(16, 0.03767577)","(17, 0.03591467)","(18, 0.03450679)","(19, 0.08157038)"
"(0, 0.039715607)","(1, 0.04909916)","(2, 0.039754808)","(3, 0.039541192)","(4, 0.039516147)","(5, 0.04067053)","(6, 0.039753936)","(7, 0.10761894)","(8, 0.05998629)","(9, 0.040641677)","(10, 0.048526935)","(11, 0.03975965)","(12, 0.049232293)","(13, 0.06768939)","(14, 0.07732531)","(15, 0.04713923)","(16, 0.04709498)","(17, 0.03974845)","(18, 0.047421392)","(19, 0.03976404)"
"(0, 0.03591318)","(1, 0.035855282)","(2, 0.035862777)","(3, 0.09661163)","(4, 0.04329022)","(5, 0.03596406)","(6, 0.03655312)","(7, 0.04916594)","(8, 0.12820166)","(9, 0.0359084)","(10, 0.043619238)","(11, 0.035951473)","(12, 0.03595316)","(13, 0.051767018)","(14, 0.03594997)","(15, 0.043597538)","(16, 0.0702065)","(17, 0.03674748)","(18, 0.07695469)","(19, 0.035926692)"
"(0, 0.06959193)","(1, 0.03610461)","(2, 0.04237118)","(3, 0.035354435)","(4, 0.035901908)","(5, 0.11800698)","(6, 0.11136068)","(7, 0.041352548)","(8, 0.03534893)","(9, 0.035340242)","(10, 0.036191083)","(11, 0.036674682)","(12, 0.06732636)","(13, 0.035306145)","(14, 0.058733482)","(15, 0.036030006)","(16, 0.036136273)","(17, 0.047280516)","(18, 0.03599694)","(19, 0.049591124)"
"(0, 0.027562987)","(1, 0.02765558)","(2, 0.027568046)","(3, 0.027709337)","(4, 0.02756351)","(5, 0.21111031)","(6, 0.042783935)","(7, 0.028225953)","(8, 0.027565276)","(9, 0.028127031)","(10, 0.027470173)","(11, 0.027520945)","(12, 0.027660472)","(13, 0.027556434)","(14, 0.265186)","(15, 0.02756167)","(16, 0.029416287)","(17, 0.036646914)","(18, 0.02756556)","(19, 0.027543599)"
"(0, 0.03574325)","(1, 0.035764705)","(2, 0.03721154)","(3, 0.058539964)","(4, 0.035646714)","(5, 0.042487603)","(6, 0.035766)","(7, 0.08983858)","(8, 0.052423034)","(9, 0.043279465)","(10, 0.035746057)","(11, 0.036441505)","(12, 0.04260449)","(13, 0.066020176)","(14, 0.043648)","(15, 0.035643607)","(16, 0.09713829)","(17, 0.059528396)","(18, 0.07380411)","(19, 0.042724453)"
"(0, 0.036533263)","(1, 0.0356685)","(2, 0.07461194)","(3, 0.037126925)","(4, 0.035685595)","(5, 0.03614431)","(6, 0.07496859)","(7, 0.035670187)","(8, 0.04301623)","(9, 0.042749207)","(10, 0.036351554)","(11, 0.035683192)","(12, 0.035686493)","(13, 0.13061295)","(14, 0.07758332)","(15, 0.03566709)","(16, 0.03567484)","(17, 0.03566103)","(18, 0.080067314)","(19, 0.044837482)"
"(0, 0.06799046)","(1, 0.05760393)","(2, 0.03528775)","(3, 0.06851208)","(4, 0.059613958)","(5, 0.060304586)","(6, 0.03531136)","(7, 0.036775786)","(8, 0.03531717)","(9, 0.035592478)","(10, 0.03530734)","(11, 0.05089518)","(12, 0.043703295)","(13, 0.13997166)","(14, 0.04199047)","(15, 0.036831535)","(16, 0.03532742)","(17, 0.03533753)","(18, 0.041854974)","(19, 0.046471063)"
"(0, 0.0346608)","(1, 0.033845607)","(2, 0.03427585)","(3, 0.048953325)","(4, 0.0416667)","(5, 0.14017624)","(6, 0.040285237)","(7, 0.03385854)","(8, 0.059837636)","(9, 0.033855956)","(10, 0.035342634)","(11, 0.045502026)","(12, 0.109219395)","(13, 0.033809688)","(14, 0.033827998)","(15, 0.040278953)","(16, 0.050868418)","(17, 0.04090564)","(18, 0.06704279)","(19, 0.041786566)"
"(0, 0.055150334)","(1, 0.064789884)","(2, 0.040510047)","(3, 0.045934074)","(4, 0.045978148)","(5, 0.03926512)","(6, 0.039228477)","(7, 0.063886665)","(8, 0.070978984)","(9, 0.06755069)","(10, 0.053987)","(11, 0.05707103)","(12, 0.047146767)","(13, 0.03921774)","(14, 0.038383495)","(15, 0.039202087)","(16, 0.06510283)","(17, 0.04751336)","(18, 0.039108355)","(19, 0.03999488)"
"(0, 0.037000693)","(1, 0.044664994)","(2, 0.03701027)","(3, 0.099348046)","(4, 0.037007716)","(5, 0.08844743)","(6, 0.12212507)","(7, 0.05279386)","(8, 0.03699235)","(9, 0.044009503)","(10, 0.04799222)","(11, 0.04417659)","(12, 0.036994692)","(13, 0.03700878)","(14, 0.036899988)","(15, 0.036921293)","(16, 0.036867965)","(17, 0.03787431)","(18, 0.044739604)","(19, 0.041124564)"
"(0, 0.078993216)","(1, 0.035189226)","(2, 0.035221692)","(3, 0.04377802)","(4, 0.046778977)","(5, 0.07664886)","(6, 0.035203706)","(7, 0.04851577)","(8, 0.035224527)","(9, 0.041824423)","(10, 0.054689325)","(11, 0.035190433)","(12, 0.03522678)","(13, 0.035213135)","(14, 0.045568712)","(15, 0.12526283)","(16, 0.060574133)","(17, 0.03520974)","(18, 0.035176378)","(19, 0.060510106)"
"(0, 0.04981215)","(1, 0.051251423)","(2, 0.04691022)","(3, 0.036218103)","(4, 0.035664115)","(5, 0.04189132)","(6, 0.0416569)","(7, 0.03577488)","(8, 0.035506252)","(9, 0.034784578)","(10, 0.050573967)","(11, 0.09833861)","(12, 0.043613594)","(13, 0.053229067)","(14, 0.041724242)","(15, 0.09560118)","(16, 0.034764744)","(17, 0.10303664)","(18, 0.03490616)","(19, 0.034741897)"
"(0, 0.034032427)","(1, 0.13332057)","(2, 0.034738574)","(3, 0.034848943)","(4, 0.034138016)","(5, 0.03410664)","(6, 0.03485758)","(7, 0.05798744)","(8, 0.05860517)","(9, 0.033984125)","(10, 0.08555616)","(11, 0.034101766)","(12, 0.106012516)","(13, 0.05584827)","(14, 0.034150027)","(15, 0.05323417)","(16, 0.034109052)","(17, 0.034860574)","(18, 0.034101322)","(19, 0.03740661)"
"(0, 0.043923095)","(1, 0.036144473)","(2, 0.055875856)","(3, 0.10813802)","(4, 0.06298166)","(5, 0.036153734)","(6, 0.03675406)","(7, 0.036152497)","(8, 0.036129396)","(9, 0.036896016)","(10, 0.053290434)","(11, 0.036163025)","(12, 0.06307404)","(13, 0.04390352)","(14, 0.03925745)","(15, 0.036146753)","(16, 0.06133691)","(17, 0.06317939)","(18, 0.077408284)","(19, 0.03709142)"
"(0, 0.036124133)","(1, 0.1738063)","(2, 0.040853858)","(3, 0.034077298)","(4, 0.035268903)","(5, 0.07795651)","(6, 0.034743108)","(7, 0.034169618)","(8, 0.053536963)","(9, 0.06019225)","(10, 0.07062963)","(11, 0.035436146)","(12, 0.03560476)","(13, 0.03510648)","(14, 0.043963023)","(15, 0.033964682)","(16, 0.03452693)","(17, 0.05275546)","(18, 0.03452292)","(19, 0.04276106)"
