NAME, QUERY, NDCG, ALPHA-NDCG, TREC, AWRF
BM25, 2, 0.9039321855903044, 0.8402545525050238, 0.50531095512919, 0.5590142304748242
MMR, 2, 0.8540558440248422, 0.9063746960822509, 0.8089408676744718, 0.9471756130866564
CL, 2, 0.8529290487370139, 0.9120854666179665, 0.4767994758293457, 0.5590142304748242
FR, 2, 0.6762817892585838, 0.8494686526588919, 0.3333836726318447, 0.8753178444340921
BM25, 4, 0.6641107320828432, 0.7894913893803704, 0.5109492345773011, 0.769373554579997
MMR, 4, 0.6446272653216514, 0.8811234782359473, 0.5088316532880016, 0.7893424319154551
CL, 4, 0.4884829718103862, 0.9376509844780011, 0.3916125663566123, 0.8016913361488147
FR, 4, 0.6452097660785501, 0.7762301874208586, 0.3333836726318447, 0.8027009117955602
BM25, 5, 0.49492306965849037, 0.7730752104006327, 0.310844621955611, 0.6280665440996755
MMR, 5, 0.5846747707539615, 0.8363140712050795, 0.5032758593143384, 0.8607791621748002
CL, 5, 0.3354238229404368, 0.9355874248945809, 0.2267935823859174, 0.6761403540087565
FR, 5, 0.49629599601507923, 0.7795623285134268, 0.3333836726318447, 0.7361277060924238
BM25, 8, 0.22539782679972903, 0.8227683905141244, 0.20010682800125096, 0.8877939545488622
MMR, 8, 0.17872544009932836, 0.8941825691890858, 0.16798421561579932, 0.9399009761701551
CL, 8, 0.18788353791246817, 0.9479429936471375, 0.12903538455971386, 0.6867838768281515
FR, 8, 0.0939565257891647, 0.7563218917543948, 0.3333836726318447, 0.7754709870409973
BM25, 9, 0.1539295678450974, 0.7673930373409864, 0.08815663572739153, 0.5727076153173212
MMR, 9, 0.23217141882973674, 0.8346883447056934, 0.21655094721356344, 0.9327200923571536
CL, 9, 0.24626023745292086, 0.9446496571513076, 0.14103511333913957, 0.5727076153173212
FR, 9, 0.20747468609861303, 0.8080852652050023, 0.3333836726318447, 0.623082614121864
BM25, 12, 0.044665973630693495, 0.8134301504835418, 0.026270386585202855, 0.588152108860567
MMR, 12, 0.0432402005348062, 0.8868546485078603, 0.038468407054981224, 0.8896445108763101
CL, 12, 0.036005705793488794, 0.9207907208590006, 0.02117683179345357, 0.588152108860567
FR, 12, 0.09355361220907973, 0.8363890651147428, 0.3333836726318447, 0.7064010277263476
BM25, 13, 0.5738335535697767, 0.829378863223032, 0.2868286213823933, 0.49984637461168546
MMR, 13, 0.576796508970493, 0.8600779946239036, 0.48637763220819846, 0.843239556141419
