NAME, QUERY, NDCG, ALPHA-NDCG, TREC, AWRF
BM25, 2, 0.9039321855903044, 0.8409367027409311, 0.50531095512919, 0.5590142304748242
MMR, 2, 0.8540558440248422, 0.9063746969571073, 0.8089408676744718, 0.9471756130866564
MMR_T, 2, 0.8540558440248422, 0.9063746969571073, 0.8089408676744718, 0.9471756130866564
CL, 2, 0.8529290487370139, 0.9120854700557394, 0.4767994758293457, 0.5590142304748242
FR, 2, 0.6422147897768632, 0.8641581545016515, 0.5584039704671048, 0.869497213947878
BM25, 4, 0.6641107320828432, 0.7894913884015228, 0.5109492345773011, 0.769373554579997
MMR, 4, 0.6446272653216514, 0.881334850098148, 0.5088316532880016, 0.7893424319154551
MMR_T, 4, 0.6446272653216514, 0.881334850098148, 0.5088316532880016, 0.7893424319154551
CL, 4, 0.4884829718103862, 0.9365274551261374, 0.3916125663566123, 0.8016913361488147
FR, 4, 0.5909690811609337, 0.7965519156539431, 0.4445406133095278, 0.7522231322766441
BM25, 5, 0.49492306965849037, 0.770463855769238, 0.310844621955611, 0.6280665440996755
MMR, 5, 0.5846747707539615, 0.8451591788916857, 0.5032758593143384, 0.8607791621748002
MMR_T, 5, 0.5846747707539615, 0.8451591788916857, 0.5032758593143384, 0.8607791621748002
CL, 5, 0.3354238229404368, 0.9396741418284827, 0.2267935823859174, 0.6761403540087565
FR, 5, 0.5287224669057327, 0.7492312696659575, 0.40512034815851694, 0.7662249545199428
BM25, 8, 0.22539782679972903, 0.8261682403047726, 0.20010682800125096, 0.8877939545488622
MMR, 8, 0.17872544009932836, 0.8941825668559551, 0.16798421561579932, 0.9399009761701551
MMR_T, 8, 0.17872544009932836, 0.8941825668559551, 0.16798421561579932, 0.9399009761701551
CL, 8, 0.18788353791246817, 0.9423333661688565, 0.12903538455971386, 0.6867838768281515
FR, 8, 0.1462518548922377, 0.7747516724399881, 0.11764312349305432, 0.8043872235311952
BM25, 9, 0.1539295678450974, 0.7597861687887761, 0.08815663572739153, 0.5727076153173212
MMR, 9, 0.23217141882973674, 0.8346883445032822, 0.21655094721356344, 0.9327200923571536
